consist,loc,pop,r_w,delay,delay_var,loss,dupl,corrupt,reorder,op,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p99_9
any,0.9,uni,2:1,200,0,0,0,0,0,get,0.0020115,0.0020369,0.0020621999999999997,0.0020876,0.002113,0.0021383,0.0021636999999999997,0.002189,0.0022144,0.0022398,0.0022544,0.0022618,0.0022693,0.0022767,0.0022841,0.0022915,0.0022989,0.0023063000000000003,0.0023138,0.0023212,0.0023286,0.002336,0.0023434000000000003,0.0023509,0.0023583000000000002,0.0023656999999999997,0.0023731,0.0023805,0.0023879,0.0023954000000000002,0.0024028,0.0024102,0.0024176,0.002425,0.0024325,0.0024399,0.0024473000000000003,0.0024546999999999998,0.0024621,0.0024695,0.002477,0.0024844,0.0024918,0.0024992,0.0025065,0.0025137,0.002521,0.0025283000000000003,0.0025355,0.0025428,0.00255,0.0025573,0.0025645,0.0025718000000000004,0.002579,0.0025863,0.0025935999999999997,0.0026008000000000003,0.0026081,0.0026153,0.0026226,0.0026298000000000003,0.0026371,0.0026443,0.0026516,0.0026589,0.0026661,0.0026734000000000003,0.0026806,0.0026879,0.0026950999999999998,0.0027024,0.0027096,0.0027169,0.0027242,0.0027314,0.0027386999999999997,0.0027459,0.002758,0.0027762,0.0027944000000000003,0.0028125999999999997,0.0028308,0.002849,0.0028672,0.0028854,0.0029036,0.0029218,0.00294,0.0029582,0.0029764,0.0029946,0.0030379,0.0030918,0.0031457,0.0031996999999999998,0.0032585,0.003387,0.0035488000000000004,0.0052883999999999995
any,0.9,uni,2:1,200,0,0,0,0,0,upd,0.0026304,0.0027566,0.0028074000000000003,0.0028580999999999997,0.0029088,0.0029595999999999997,0.0030112,0.0030664,0.0031216,0.0031766999999999997,0.0032319000000000002,0.0032641,0.0032851,0.0033062,0.0033271999999999998,0.0033482,0.0033691999999999997,0.0033902,0.0034111999999999996,0.0034322,0.0034532,0.0034741999999999998,0.0034953000000000002,0.0035082,0.0035189,0.0035296,0.0035402,0.0035509,0.0035615,0.0035721999999999998,0.0035828,0.0035935,0.0036041,0.0036148,0.0036254,0.0036360999999999997,0.0036468000000000004,0.0036574,0.0036681,0.0036787,0.0036894000000000002,0.0037,0.0037107,0.0037213000000000003,0.003732,0.0037426,0.0037537,0.0037657,0.0037778,0.0037898000000000003,0.0038018,0.0038139000000000003,0.0038259,0.0038379,0.0038499000000000003,0.003862,0.003874,0.003886,0.0038981,0.0039101,0.0039220999999999995,0.0039341,0.0039461999999999995,0.003958199999999999,0.0039702,0.0039822,0.0039943,0.0040113,0.0040327,0.0040542,0.0040755999999999995,0.0040971,0.0041186,0.00414,0.0041615,0.004183,0.0042044,0.0042258999999999994,0.004247399999999999,0.004287399999999999,0.004330100000000001,0.0043727,0.0044154,0.004458,0.0045014,0.0045928,0.0046841999999999995,0.0048092,0.0050472,0.2032611,0.20348029999999998,0.2035929,0.20369489999999998,0.2037973,0.2039001,0.2040046,0.204164,0.2043816,0.20483620000000002,0.2514459
lat,0.5,uni,2:1,200,60,0,0,0,0,get,0.0020041,0.0020198,0.0020354,0.0020510999999999997,0.0020667,0.0020824,0.002098,0.0021136999999999996,0.0021294,0.002145,0.0021606999999999998,0.0021763000000000004,0.002192,0.0022076,0.0022233,0.002239,0.0022527,0.0022618,0.0022709,0.0022800999999999997,0.0022892,0.0022983,0.0023074000000000002,0.0023166,0.0023257,0.0023348,0.0023439,0.0023531,0.0023621999999999996,0.0023713000000000002,0.0023804,0.0023896,0.0023986999999999997,0.0024078000000000003,0.0024169,0.0024261,0.0024351999999999998,0.0024443000000000004,0.0024534,0.0024626,0.0024717,0.0024808,0.0024899,0.0024990999999999998,0.0025525,0.002611,0.0026695,0.002728,0.0028777,0.0032426,0.1075575,0.13262,0.1478362,0.15990210000000002,0.1705719,0.178741,0.1858098,0.1929587,0.19949060000000002,0.2054594,0.2112213,0.2162466,0.22142679999999998,0.2262671,0.2310399,0.23577889999999999,0.24030120000000002,0.24534,0.2496099,0.254083,0.258104,0.2625183,0.2668353,0.2709888,0.2755744,0.280218,0.2848848,0.289157,0.2940751,0.298955,0.30428140000000004,0.30981770000000003,0.3149795,0.3206814,0.32643520000000004,0.3329525,0.3396777,0.3475164,0.3557475,0.364935,0.3743823,0.3867175,0.40016690000000005,0.41730809999999996,0.4393156,0.473515,0.5297025,0.6299525,0.8187025,1.2320703
lat,0.5,uni,2:1,200,60,0,0,0,0,upd,0.002587,0.0026831999999999997,0.0027735999999999998,0.0028505,0.0029275,0.0030011,0.0030202,0.0030393,0.0030584,0.0030775,0.0030965999999999997,0.0031157,0.0031348,0.0031539000000000003,0.003173,0.0031921,0.0032112,0.0032303,0.0032494,0.0032609,0.0032723,0.0032836,0.0032949,0.0033063000000000003,0.0033176,0.0033289,0.0033403,0.0033515999999999997,0.0033629000000000003,0.0033743,0.0033856,0.0033969,0.0034081999999999997,0.0034196,0.0034309,0.0034422,0.0034536,0.0034649,0.0034761999999999996,0.0034876,0.0034989,0.003537,0.003578,0.0036191,0.0036601,0.0037010999999999997,0.0037421,0.0038661,0.0040227,0.0046493,0.21560379999999998,0.233895,0.24751179999999998,0.2568865,0.26491129999999996,0.271724,0.27766209999999997,0.2837171,0.28931090000000004,0.2941069,0.2983686,0.3029497,0.30747959999999996,0.3115767,0.315991,0.3197223,0.3237041,0.32764,0.3317949,0.336003,0.3400605,0.3442191,0.3481468,0.3523947,0.356707,0.36085809999999996,0.365348,0.3700383,0.3747626,0.378825,0.3839855,0.3892919,0.3945528,0.400429,0.4059065,0.4124523,0.41905590000000004,0.42637640000000004,0.43417520000000004,0.4434775,0.4533202,0.4649713,0.4798772,0.498051,0.5206708,0.5525867,0.6007575,0.677585,0.8325013,1.3224502
ev2,0.9,uni,2:1,200,60,0,0,0,0,get,0.0018781,0.0020004000000000003,0.0020084,0.0020164000000000002,0.0020244,0.0020324,0.0020404,0.0020483000000000003,0.0020563,0.0020643000000000002,0.0020723,0.0020803,0.0020883,0.0020963,0.0021043000000000004,0.0021123,0.0021203000000000003,0.0021282,0.0021362,0.0021441999999999998,0.0021522,0.0021601999999999997,0.0021682,0.0021761999999999997,0.0021842,0.0021921999999999996,0.0022001,0.0022080999999999997,0.0022161,0.0022241,0.0022321,0.0022401,0.0022481,0.0022537,0.0022586,0.0022635,0.0022684000000000003,0.0022733000000000002,0.0022781999999999998,0.0022830999999999997,0.002288,0.0022929,0.0022978,0.0023027,0.0023076,0.0023125,0.0023174000000000003,0.0023223000000000002,0.0023271999999999998,0.0023320999999999997,0.002337,0.0023419,0.0023468,0.0023517,0.0023566,0.0023615,0.0023664000000000003,0.0023713000000000002,0.0023761999999999998,0.0023810999999999997,0.002386,0.0023909,0.0023958,0.0024007,0.0024056,0.0024105,0.0024154000000000003,0.0024203000000000002,0.0024251999999999998,0.0024300999999999997,0.002435,0.00244,0.0024449000000000003,0.0024498000000000002,0.0024546999999999998,0.0024595999999999997,0.0024645,0.0024694,0.0024743,0.0024792,0.0024841,0.002489,0.0024939000000000003,0.0024988000000000002,0.0025185,0.0025433,0.002568,0.0025928,0.0026176,0.0026424,0.0026671,0.0026919,0.0027167,0.0027414,0.0027962,0.0028667,0.0029371999999999996,0.0030215999999999997,0.003219,0.0039296999999999995
ev2,0.9,uni,2:1,200,60,0,0,0,0,upd,0.0025608000000000002,0.0026305,0.0027002,0.0027628,0.0028075,0.0028523000000000003,0.0028971,0.0029418,0.0029866,0.0030379,0.0030919000000000003,0.0031459,0.0032,0.0032511999999999997,0.0032676999999999997,0.0032841,0.0033005,0.003317,0.0033334000000000003,0.0033499000000000003,0.0033663,0.0033826999999999998,0.0033992,0.0034156,0.0034321,0.0034485,0.0034649,0.0034814,0.0034978,0.0035185,0.0035398,0.0035610999999999998,0.0035825,0.0036038000000000003,0.0036251,0.0036464,0.0036678,0.0036891,0.0037104,0.0037316999999999997,0.0037574,0.0038094,0.0038614,0.0039134,0.0039654,0.004034,0.0041359,0.0042377,0.0044355,0.0049603,0.1955106,0.2159663,0.230094,0.2408545,0.2494485,0.2572086,0.2644586,0.271061,0.2768925,0.28281609999999996,0.2883906,0.29353959999999996,0.29861459999999995,0.3034329,0.3084361,0.3133796,0.318483,0.32340209999999997,0.3280882,0.3333228,0.33866559999999996,0.3438446,0.34887409999999996,0.3541998,0.3592431,0.3648654,0.371138,0.3773871,0.3838783,0.3907466,0.3982435,0.4063061,0.4151588,0.4237982,0.433624,0.4456003,0.4584823,0.4734575,0.4901661,0.510175,0.5356485,0.563432,0.6001925,0.647745,0.7027208,0.7678883000000001,0.8519158,0.9652075,1.1565825,1.5563166000000002
lat,0.5,uni,2:1,0,0,0,0,0,0,get,0.002087,0.0021844,0.0022551999999999997,0.0022711,0.0022871,0.002303,0.002319,0.0023349,0.0023509,0.0023668,0.0023828,0.0023986999999999997,0.0024146999999999997,0.0024305999999999998,0.0024465999999999997,0.0024625,0.0024785,0.0024944,0.0025041,0.0025104000000000003,0.0025166,0.0025229000000000002,0.0025291999999999997,0.0025355,0.0025416999999999996,0.002548,0.0025543000000000002,0.0025605,0.0025668,0.0025731,0.0025794,0.0025856,0.0025919000000000003,0.0025981999999999997,0.0026045,0.0026106999999999997,0.002617,0.0026233000000000003,0.0026295999999999997,0.0026358,0.0026421,0.0026484,0.0026546,0.0026609,0.0026671999999999998,0.0026735,0.0026796999999999997,0.002686,0.0026923000000000003,0.0026986,0.0027048000000000003,0.0027110999999999997,0.0027174,0.0027237,0.0027299,0.0027362,0.0027425,0.0027486999999999998,0.0027579,0.0027678000000000004,0.0027776,0.0027875,0.0027974000000000002,0.0028071999999999997,0.0028171,0.002827,0.0028368,0.0028466999999999998,0.0028566,0.0028664000000000003,0.0028763,0.0028862,0.002896,0.0029059,0.0029158,0.0029256,0.0029355,0.0029454,0.0029553,0.0029651,0.002975,0.0029849,0.0029947,0.003012,0.0030378000000000002,0.0030636,0.0030894,0.0031151,0.0031409000000000003,0.0031666999999999997,0.0031925,0.0032183000000000003,0.0032440999999999998,0.003294,0.0033513,0.0034085,0.0034657,0.0035675999999999998,0.0037363,0.004803
lat,0.5,uni,2:1,0,0,0,0,0,0,upd,0.0027678000000000004,0.0028583000000000003,0.0029488,0.0030455,0.0031501,0.0032515,0.0032841999999999997,0.0033169000000000002,0.0033495,0.0033821999999999997,0.0034149000000000002,0.0034476,0.0034801999999999997,0.003504,0.0035142,0.0035244,0.0035345,0.0035447,0.0035549,0.0035651,0.0035751999999999997,0.0035854000000000003,0.0035956,0.0036058,0.0036159,0.0036260999999999997,0.0036363000000000003,0.0036465,0.0036566999999999997,0.0036668,0.003677,0.0036872,0.0036974,0.0037075,0.0037177,0.0037279,0.0037381,0.0037481999999999997,0.0037574,0.0037663,0.0037752,0.0037841999999999997,0.0037930999999999998,0.003802,0.003811,0.0038199,0.0038288000000000003,0.0038378,0.0038466999999999998,0.0038556,0.0038645999999999997,0.0038735,0.0038824000000000003,0.0038914,0.0039003,0.0039092,0.0039182,0.0039271,0.003936,0.0039449,0.0039539,0.0039628,0.0039717,0.0039807,0.0039896,0.0039985,0.004012,0.0040263,0.0040406,0.004055,0.0040693000000000005,0.0040836,0.004098,0.0041123,0.0041266,0.0041408999999999994,0.0041553,0.004169600000000001,0.0041839,0.0041983,0.0042126,0.0042269,0.0042413,0.0042608,0.0042885,0.004316100000000001,0.0043438,0.0043715,0.0043992,0.0044268,0.0044545,0.0044821999999999996,0.0045209,0.0045794,0.004638,0.0046966,0.0047618999999999995,0.0048985,0.0050875,0.005714100000000001
lat,0.9,uni,2:1,0,60,0,0,0,0,get,0.0020429000000000003,0.0020973000000000003,0.0021517,0.0022061,0.0022524,0.0022648,0.0022771999999999996,0.0022895999999999997,0.002302,0.0023144,0.0023266999999999997,0.0023390999999999998,0.0023515,0.0023639,0.0023763,0.0023886999999999997,0.0024010999999999998,0.0024135,0.0024259,0.0024383,0.0024506,0.002463,0.0024754,0.0024878,0.0025001,0.0025066,0.002513,0.0025195,0.002526,0.0025324,0.0025389,0.0025453000000000003,0.0025518000000000003,0.0025583000000000003,0.0025646999999999996,0.0025711999999999996,0.0025775999999999998,0.0025840999999999998,0.0025905999999999998,0.002597,0.0026035,0.0026099,0.0026164,0.0026229,0.0026293,0.0026358,0.0026423,0.0026487,0.0026552,0.0026616,0.0026681,0.0026746,0.002681,0.0026875,0.0026939,0.0027004,0.0027069,0.0027133,0.0027198,0.0027263,0.0027327,0.0027392,0.0027456,0.0027537,0.002765,0.0027763,0.0027876999999999997,0.002799,0.0028103000000000004,0.0028216,0.002833,0.0028443,0.0028556,0.0028669,0.0028783000000000003,0.0028896,0.0029009,0.0029121999999999998,0.0029235999999999997,0.0029349000000000003,0.0029462,0.0029575,0.0029689,0.0029801999999999997,0.0029915,0.0030075,0.0030371,0.0030667,0.0030963,0.003126,0.0031555999999999997,0.0031852,0.0032149,0.0032445,0.0033047,0.0033718000000000003,0.003439,0.0035185,0.0037194,0.0048763999999999995
lat,0.9,uni,2:1,0,60,0,0,0,0,upd,0.00269,0.0027855,0.002837,0.0028885,0.0029400999999999997,0.0029916,0.0030526999999999998,0.0031157,0.0031785999999999997,0.0032416,0.0032757,0.0033054,0.0033350999999999997,0.0033647,0.0033944,0.0034241,0.0034538000000000004,0.0034834,0.0035046,0.003515,0.0035254,0.0035358,0.0035463,0.0035567,0.0035670999999999997,0.0035775,0.0035879,0.0035983,0.0036087,0.0036191,0.0036295999999999998,0.00364,0.0036504000000000003,0.0036608,0.0036712,0.0036815999999999997,0.003692,0.0037024000000000002,0.0037129,0.0037233,0.0037337,0.0037440999999999998,0.0037541,0.0037635999999999998,0.0037732,0.0037827,0.0037922,0.0038017,0.0038112,0.0038208,0.0038303,0.0038398,0.0038493000000000004,0.0038588000000000003,0.0038683000000000003,0.0038779,0.0038874,0.0038969,0.0039064,0.0039159,0.0039255,0.003935,0.0039445,0.003954,0.0039635,0.0039731,0.0039826,0.0039921,0.0040026,0.0040181999999999995,0.004033800000000001,0.0040494,0.0040649,0.0040805,0.0040961,0.0041116,0.0041272,0.0041428,0.0041584,0.0041738999999999995,0.0041895,0.004205100000000001,0.0042207,0.0042362,0.0042535,0.0042837,0.0043138000000000004,0.004344,0.0043742,0.0044043,0.0044345,0.004464699999999999,0.0044948,0.0045531999999999994,0.0046175,0.0046817,0.004746,0.0048888000000000004,0.0050861000000000005,0.0057385
ev1,0.9,uni,2:1,200,60,0,0,0,0,get,0.00201,0.002035,0.00206,0.002085,0.00211,0.002135,0.0021601,0.0021850999999999997,0.0022101,0.0022351,0.0022531,0.0022606999999999996,0.0022683,0.0022759,0.0022835,0.0022911999999999997,0.0022988,0.0023064,0.002314,0.0023216,0.0023292,0.0023368,0.0023445,0.0023520999999999998,0.0023596999999999997,0.0023673,0.0023749,0.0023825,0.0023902,0.0023978000000000003,0.0024054000000000002,0.002413,0.0024205999999999997,0.0024281999999999997,0.0024358,0.0024435,0.0024511,0.0024587,0.0024663000000000003,0.0024739000000000002,0.0024815,0.0024892,0.0024968,0.0025044,0.002512,0.0025196,0.0025272,0.0025348000000000002,0.0025424,0.0025501,0.0025577,0.0025653000000000004,0.0025729,0.0025805,0.0025881,0.0025957,0.0026033000000000002,0.002611,0.0026186,0.0026262,0.0026338000000000004,0.0026414,0.002649,0.0026566,0.0026642,0.0026719,0.0026795,0.0026871,0.0026947,0.0027023000000000004,0.0027099,0.0027175,0.0027251,0.0027328,0.0027404,0.002748,0.0027626,0.0027797,0.0027969,0.002814,0.0028311,0.0028483000000000002,0.0028654,0.0028826,0.0028997,0.0029168,0.002934,0.0029511,0.0029683,0.0029854,0.0030069000000000003,0.0030533,0.0030997,0.0031460999999999998,0.0031925,0.0032389000000000003,0.0033323000000000003,0.0034406999999999997,0.0036383,0.2476165
ev1,0.9,uni,2:1,200,60,0,0,0,0,upd,0.0023299,0.0024155,0.0025004000000000003,0.0025296,0.0025588000000000004,0.002588,0.0026171999999999996,0.0026464,0.0026755999999999998,0.0027048000000000003,0.002734,0.0027704,0.0028158000000000002,0.0028611,0.0029064,0.0029517,0.002997,0.0030259,0.0030536,0.0030813000000000004,0.003109,0.0031366999999999996,0.0031644,0.0031921,0.0032198,0.0032475,0.0032613000000000004,0.0032735999999999998,0.003286,0.0032984,0.0033108,0.0033231,0.0033355,0.0033479,0.0033602,0.0033726,0.003385,0.0033973000000000002,0.0034097,0.0034221,0.0034345,0.0034468000000000003,0.0034592,0.0034716,0.0034839000000000003,0.0034963000000000004,0.0035075,0.0035180999999999997,0.0035288000000000003,0.0035394000000000003,0.0035501,0.0035607,0.0035714,0.003582,0.0035927,0.0036033000000000003,0.003614,0.0036246,0.0036353,0.0036459,0.0036566,0.0036672,0.0036779,0.0036885,0.0036991999999999997,0.0037098,0.0037205,0.0037310999999999998,0.0037418,0.0037538000000000003,0.0037703000000000003,0.0037869,0.0038035,0.0038201,0.0038366,0.0038531999999999998,0.0038698,0.0038863,0.0039029,0.0039195,0.003936,0.0039526,0.0039692,0.0039857,0.0040044,0.0040359,0.0040674,0.0040989,0.004130399999999999,0.0041619,0.0041934,0.004224899999999999,0.0042628,0.0043263,0.0043897,0.0044532,0.0045352,0.0046694,0.0048836999999999995,2.0139563000000003
any,0.9,uni,2:1,100,60,0,0,0,0,get,0.0020024,0.0020201,0.0020379,0.0020556,0.0020733,0.0020911,0.0021088,0.0021265,0.0021443,0.002162,0.0021798,0.0021975,0.0022151999999999996,0.002233,0.0022502,0.0022566,0.0022629,0.0022692,0.0022755,0.0022818,0.0022881999999999998,0.0022945,0.0023008,0.0023071,0.0023134,0.0023196999999999996,0.0023260999999999998,0.0023324,0.0023387,0.002345,0.0023513,0.0023576,0.002364,0.0023703,0.0023766,0.0023829000000000003,0.0023891999999999997,0.0023955,0.0024019,0.0024081999999999997,0.0024145,0.0024208000000000003,0.0024270999999999997,0.0024334,0.0024398,0.0024461,0.0024524,0.0024587,0.002465,0.0024713,0.0024776999999999998,0.002484,0.0024903,0.0024966,0.002504,0.0025126999999999997,0.0025213,0.00253,0.0025386,0.0025473,0.0025559000000000003,0.0025645999999999998,0.0025732,0.0025819000000000003,0.0025905,0.0025992,0.0026078000000000004,0.0026165,0.0026251,0.0026338000000000004,0.0026424,0.0026511,0.0026596999999999997,0.0026684,0.0026771,0.0026856999999999996,0.0026944,0.002703,0.0027116999999999996,0.0027203,0.002729,0.0027375999999999998,0.0027463,0.0027637,0.0027879000000000003,0.002812,0.0028361999999999997,0.0028603,0.0028845,0.0029086,0.0029328,0.0029569,0.0029811,0.0030143,0.0030805999999999997,0.0031468000000000004,0.0032131,0.0033201999999999997,0.0034787,0.0044455
any,0.9,uni,2:1,100,60,0,0,0,0,upd,0.0025886,0.0026884,0.0027693,0.0028196999999999996,0.0028701,0.0029205,0.0029709000000000003,0.0030172,0.0030577,0.0030981999999999997,0.0031388,0.0031793000000000004,0.0032199,0.0032535,0.0032669,0.0032804,0.0032939,0.0033073,0.0033208,0.0033343,0.0033478,0.0033612,0.0033747,0.0033881999999999996,0.0034016,0.0034151,0.0034286,0.003442,0.0034555,0.003469,0.0034825,0.0034959,0.0035072,0.0035174,0.0035277,0.0035379,0.0035481999999999996,0.0035584,0.0035686999999999997,0.0035789,0.0035892,0.0035994,0.0036097,0.0036199,0.0036301999999999997,0.0036404000000000002,0.0036506999999999998,0.0036609,0.0036712,0.0036814,0.0036917,0.0037019,0.0037121999999999997,0.0037224000000000003,0.0037327,0.0037429,0.0037546999999999997,0.0037699,0.0037851,0.0038001999999999997,0.0038154,0.0038306,0.0038456999999999996,0.0038609,0.0038761,0.0038911999999999996,0.0039064,0.0039216,0.0039368,0.0039519,0.0039671,0.0039823,0.0039974,0.0040239,0.0040528000000000005,0.0040816,0.004110399999999999,0.0041393,0.0041681,0.0041969,0.0042258,0.004259300000000001,0.0043171,0.004375,0.0044329,0.0044907,0.0046029,0.0047253,0.0049648999999999995,0.12685,0.1542768,0.170179,0.1837574,0.19754539999999998,0.2119562,0.230003,0.2576518,0.31739,0.51514,1.321339
any,0.5,uni,2:1,0,0,0,0,0,0,get,0.0020242,0.0020591,0.002094,0.0021288,0.0021636999999999997,0.0021985999999999998,0.0022335,0.0022546999999999997,0.0022635,0.0022723,0.0022811,0.00229,0.0022988,0.0023076,0.0023164,0.0023253,0.0023341,0.0023429,0.0023517,0.0023606,0.0023694000000000002,0.0023782,0.002387,0.0023959000000000003,0.0024046999999999996,0.0024135,0.0024224,0.0024311999999999997,0.00244,0.0024488,0.0024576999999999997,0.0024665,0.0024753,0.0024841,0.002493,0.0025013,0.0025078,0.0025142,0.0025206,0.0025271,0.0025335,0.00254,0.0025464,0.0025529,0.0025593,0.0025656999999999998,0.0025721999999999997,0.0025786,0.0025851,0.0025915,0.002598,0.0026044,0.0026109,0.0026173000000000004,0.0026236999999999996,0.0026301999999999996,0.0026366,0.0026431,0.0026495,0.002656,0.0026624,0.0026689,0.0026753000000000002,0.0026817,0.0026882,0.0026946,0.0027011,0.0027075,0.002714,0.0027204,0.0027269,0.0027333,0.0027397,0.0027462,0.0027562,0.0027711999999999997,0.0027863000000000002,0.0028014,0.0028164,0.0028315,0.0028466,0.0028617,0.0028767,0.0028918000000000004,0.0029069,0.0029219000000000003,0.002937,0.0029521,0.0029671999999999997,0.0029822,0.0029973,0.0030382,0.0030846,0.0031311,0.0031776,0.0032240999999999997,0.0032981,0.0034069,0.0035521,0.0045111000000000005
any,0.5,uni,2:1,0,0,0,0,0,0,upd,0.0027557,0.0028466,0.0029374,0.0030291999999999997,0.0031230999999999997,0.0032169,0.0032674,0.0032943,0.0033211,0.003348,0.0033749,0.0034018000000000004,0.0034286,0.0034555,0.0034824,0.0035034000000000003,0.0035134000000000003,0.0035233,0.0035333,0.0035432,0.0035532,0.0035632,0.0035731,0.0035831,0.003593,0.003603,0.0036129,0.0036229,0.0036328000000000003,0.0036428000000000003,0.0036528000000000003,0.0036626999999999996,0.0036726999999999997,0.0036826,0.0036926,0.0037025,0.0037125,0.0037224000000000003,0.0037324000000000003,0.0037423,0.0037521,0.0037613,0.0037704,0.0037795999999999997,0.0037887,0.0037979,0.0038071,0.0038161999999999996,0.0038254,0.0038345,0.0038437,0.0038528,0.003862,0.0038712,0.0038803,0.0038895,0.0038986,0.0039078,0.0039169,0.0039261,0.0039352,0.0039444,0.0039536,0.0039626999999999996,0.0039719,0.003981,0.0039902,0.0039993,0.004014,0.004029,0.004044,0.004059,0.0040741,0.0040891,0.0041041,0.0041191000000000005,0.0041342,0.0041492,0.0041642,0.0041793,0.0041943,0.0042093,0.0042243,0.0042394,0.0042587,0.0042883,0.0043178999999999995,0.0043475,0.0043771,0.0044066999999999995,0.0044363,0.004465899999999999,0.004495600000000001,0.0045539,0.0046173,0.004680800000000001,0.0047442,0.0048842,0.0050761999999999995,0.0057329
ev1,0.9,uni,2:1,300,0,0,0,0,0,get,0.0020268,0.0020653000000000004,0.0021038000000000003,0.0021423,0.0021808,0.0022193,0.0022519000000000003,0.0022616,0.0022711999999999997,0.0022808000000000004,0.0022905,0.0023001,0.0023097,0.0023194,0.002329,0.0023387,0.0023483,0.0023579,0.0023676,0.0023772,0.0023868,0.0023965,0.0024061,0.0024157,0.0024254000000000003,0.002435,0.0024446,0.0024543,0.0024639,0.0024735,0.0024831999999999996,0.0024928000000000003,0.0025016,0.0025082,0.0025147,0.0025213,0.0025278,0.0025343,0.0025409,0.0025474,0.002554,0.0025605,0.002567,0.0025736,0.0025801,0.0025866,0.0025932,0.0025997,0.0026063,0.0026128,0.0026193,0.0026259,0.0026324,0.0026389,0.0026455,0.002652,0.0026586,0.0026651,0.0026716,0.0026782,0.0026847,0.0026913,0.0026978,0.0027043,0.0027109,0.0027174,0.0027239,0.0027305,0.002737,0.0027436,0.0027502,0.0027639,0.0027776999999999997,0.0027914000000000003,0.0028052,0.0028189,0.0028326,0.0028464000000000002,0.0028601,0.0028739,0.0028875999999999997,0.0029013000000000003,0.0029151,0.0029288,0.0029426,0.0029563000000000002,0.0029701,0.0029838,0.0029975,0.0030323000000000004,0.0030716999999999997,0.0031111,0.0031505,0.0031899000000000003,0.0032293,0.0032916,0.0033794000000000003,0.0034671999999999997,0.0036655,0.0398385
ev1,0.9,uni,2:1,300,0,0,0,0,0,upd,0.0023821999999999997,0.0025038,0.0025336,0.0025634,0.0025933,0.0026230999999999997,0.0026529,0.0026828000000000004,0.0027126,0.0027424000000000003,0.0027813,0.0028231999999999997,0.0028650999999999998,0.002907,0.0029489,0.0029908,0.0030545,0.0031244000000000003,0.0031942,0.0032535999999999997,0.0032718,0.0032899,0.0033081,0.0033261999999999996,0.0033444,0.0033625,0.0033807,0.0033988,0.003417,0.0034351,0.0034533000000000003,0.0034714,0.0034896,0.0035039,0.0035129000000000002,0.003522,0.0035311,0.0035402,0.0035491999999999998,0.0035583000000000004,0.0035674,0.0035764,0.0035855,0.0035946,0.0036036999999999996,0.0036127,0.0036218,0.0036309000000000003,0.00364,0.003649,0.0036581,0.0036672,0.0036763,0.0036853000000000003,0.0036944,0.0037035,0.0037126,0.0037216,0.0037307,0.0037398,0.0037489,0.0037611,0.0037738000000000003,0.0037864,0.0037990999999999997,0.0038118,0.0038245,0.0038371,0.0038498,0.0038625,0.0038751999999999997,0.0038878000000000003,0.0039005,0.0039131999999999995,0.0039259,0.0039385,0.0039512,0.0039639,0.0039766,0.0039892,0.0040038,0.0040288,0.0040536999999999995,0.0040787,0.0041037,0.0041287,0.0041537,0.0041786,0.0042036,0.004228600000000001,0.004257,0.004306,0.004355,0.004404,0.004452899999999999,0.0045042,0.004610899999999999,0.0047177,0.004933399999999999,0.0063306000000000005
ev2,0.9,uni,2:1,300,0,0,0,0,0,get,0.0018788,0.0020005,0.0020084,0.0020162,0.002024,0.0020319,0.0020397,0.0020476,0.0020554,0.0020633,0.0020710999999999998,0.0020789000000000003,0.0020868,0.0020946,0.0021025,0.0021103000000000003,0.0021181999999999998,0.002126,0.0021338000000000004,0.0021417,0.0021495,0.0021574000000000003,0.0021652,0.0021731,0.0021809,0.0021887,0.0021966,0.0022044,0.0022123000000000004,0.0022201,0.0022279,0.0022358,0.0022436,0.002251,0.0022561,0.0022611999999999997,0.0022664,0.0022715,0.0022765999999999997,0.0022817,0.0022869,0.002292,0.0022971,0.0023023,0.0023074000000000002,0.0023125,0.0023176,0.0023228000000000003,0.0023279,0.002333,0.0023382,0.0023433,0.0023484,0.0023535,0.0023587,0.0023638,0.0023689,0.0023741,0.0023791999999999997,0.0023843000000000002,0.0023894000000000003,0.0023945999999999998,0.0023997,0.0024048000000000003,0.00241,0.0024151,0.0024202,0.0024254000000000003,0.0024305,0.0024356,0.0024406999999999996,0.0024459,0.002451,0.0024561,0.0024613,0.0024664,0.0024715,0.0024766,0.0024818,0.0024869000000000002,0.002492,0.0024971999999999998,0.0025101999999999998,0.0025331999999999998,0.0025561,0.002579,0.002602,0.0026249,0.0026479,0.0026708,0.0026937,0.0027167,0.0027396,0.0027836999999999996,0.0028455,0.0029072,0.0029689,0.0030856,0.0032687,0.004013699999999999
